Title,Price,Number of Bedrooms,Number of Bathrooms,Property Type,Floor Area (m2),BER Rating,Latitude,Longitude,Listing Views,Area,County,Features,Date of Construction
"21 The Granary, Abbeyknockmoy, Monivea, Co. Galway, H54XN47",330000,4,3,Semi-D,124,C2,53.436233,-8.747767,1923,monivea-galway,Galway,"Spacious Family Residence, Not Overlooked to the Front or Back, Located in the Heart of Abbeyknockmoy Village, 5 Minute Drive to the Motorway, less than 30 Minutes to Galway City",2007
"C. 33.5 Acres At Balinaclough South, Fenor, Co. Waterford, Fenor, Co. Waterford",Price on Application,0,0,Site,33.5,N/A,52.191657,-7.201547,992,fenor-waterford,Waterford,,NA
"27 Rocklands Avenue, Ballybane, Galway City, Co. Galway, H91KWP8",330000,4,2,Semi-D,123,D1,53.285656,-9.010163,4560,galway-city,Galway,"Large corner site, FOLIO GY5318F, Spacious 3 bedroom detached home, Generous front and rear gardens, Walking distance to schools, shops & ATU College, Well serviced by local amenities & sports facilities, Daily bus service to & from Galway city located nearby, Easy access to Galway City, M6 motorway & Oranmore, Moments of Galway Clinic & Merlin Park Hospital, Close to Boston Scientific, Merit Medical & Creganna",1978
"Rossaveel Upper, Ballynahown, Co. Galway, H91WP9C",475000,5,4,Detached,215,B1,53.27482,-9.549256,8672,ballynahown-galway,Galway,,2009
"10 Stillorgan Gate, Kilmacud Road Upper, Kilmacud, Co. Dublin, D14RX06",1250000,4,3,Terrace,192,A2,53.285806,-6.224107,7816,kilmacud-dublin,Dublin,,2018
"248 Laraghcon, Lucan, Co. Dublin, K78HN72",535000,4,3,End of Terrace,140,B3,53.36459,-6.447448,8968,lucan-dublin,Dublin,,2005
"Hilltop, Tumnahulla, Corrandulla, Co. Galway, H91A6FT",420000,3,2,Detached,110,C3,53.402679,-8.970187,3481,corrandulla-galway,Galway,"Oil fired central heating., Water is Galway County Council supply with a septic tank onsite., Elevated site hence house name ""Hilltop"", No houses either side of house., High level of insulation throughout house with pumped cavity walls and attic insulation., Tar-mac drive, footpaths, patio., High speed broadband available., Mature fruit trees in rear garden., Double glazing throughout house., Fully tiled bathroom and en-suite with electric and power shower.",1970
"Rock House, Old Downs Road, Delgany, Co. Wicklow, A63YH31",1050000,3,1,Detached,169,E1,53.127968,-6.110901,10734,delgany-wicklow,Wicklow,,NA
"Cloghbrack Upper, Cloghbrack, Clonbur, Co. Galway, F12VF98",190000,4,1,Bungalow,112,D2,53.554433,-9.457565,5769,clonbur-galway,Galway,"Scenic Location, Charming traditional features, Recently re-roofer and insultated, Accessibility friendly modifications",1956
"Moyveela, Oranmore, Co. Galway, H91RXA3",350000,3,1,Bungalow,114,D2,53.271381,-8.840071,3715,oranmore-galway,Galway,"Site of 0.4 acre approx., Spacious 3 bed detached home, Built c.1966, Generous gardens to front and rear",1966
"Boleybeg East, Barna, H91K230",695000,5,3,Detached,214,C2,53.284024,-9.13459,8615,barna-galway,Galway,"Built Circa 2004, Spacious detached c 215 sqm, Mature private landscaped site, Rural setting closed to Galway City, Walking distance to Drom playing fields, Easy access to UCHG & University of Galway, Several schools, shops & parks in the area, Substantial gardens front, side & rear",2003
"94 Old Cabra Road, Dublin 7, Navan Road (D7), Dublin 7, D07F2P7",1250000,3,3,Semi-D,170,C1,53.360274,-6.294232,9044,navan-road-d7-dublin,Dublin,"Turnkey condition, Modern finish throughout, Large rear garden, Excellent location., Space for 3 cars for off street parking, Electric gate & state of the art security system installed, renovated to a very high standard throughout, Floored attic space for extra storage, Large attic",1928
"22 Patrick Street, Dun Laoghaire, Co. Dublin, A96CF51",495000,2,1,Terrace,68,D2,53.291274,-6.137658,8729,dun-laoghaire-dublin,Dublin,"Charming two-bedroom mid-terrace period home in a highly convenient location, West facing rear courtyard, Gas fired central heating, Fantastic location in the heart of Dun Laoghaire, Excellent transport links including DART several bus routes (QBC) Aircoach M50 and N11, On street permit parking, BER D2",1905
"16 The Waterfront, Bridge Street, Galway City Centre, H91K6K7",475000,3,2,Apartment,88,C2,53.271658,-9.055406,9297,N/A,N/A,"Spacious upper floor apartment, Excellent condition, Abundance of accommodation, Security doors & lift access, City Centre location, Corner balcony with River outlook, City living at its finest, Walking distance to Galway University",1994
