Title,Price,Number of Bedrooms,Number of Bathrooms,Property Type,Floor Area (m2),BER Rating,Latitude,Longitude,Listing Views,Area,County,Features,Date of Construction
"28 Parkside Walk, Dublin 13, D13YTV0",495000,3,3,Semi-D,124,A3,53.406476,-6.165754,8120,N/A,N/A,"Side - entrance, Semi - detached, Green Rated, Great condition , Location, Location, Location..., Solar panels",NA
"Derrycark, Belturbet, Belturbet, Co. Cavan, H14HW80",195000,4,3,Detached,195,SI_666,54.119612,-7.414792,17548,belturbet-cavan,Cavan,,NA
"Tyrcallen, Stranorlar, Kilross, Co. Donegal, F93F9NF",385000,4,2,Bungalow,210,B2,54.826119,-7.746861,5847,kilross-donegal,Donegal,"Set in a peaceful yet convenient location., Finished and maintained to a very high standard., Spacious floor extending to 210 sq m of light flooded accommodation., B2 energy rating.",NA
"10 Gleann Aras View, Grenagh, Co. Cork, T23N722",295000,3,2,Semi-D,91,C1,52.011268,-8.607514,8533,grenagh-cork,Cork,"Central location close to all amenities, Private Parking, Tastefully decorated thoughout, Overlooking countryside ",1999
"128 Grange Abbey Drive, Baldoyle, Baldoyle, Dublin 13, D13V4P6",495000,4,2,Semi-D,N/A,C1,53.398457,-6.153509,12784,baldoyle-dublin,Dublin,,NA
"10 Sunnyside, Ballypatrick, Ballypatrick, Co. Tipperary, E91V6T8",450000,5,4,Detached,258,B2,52.390426,-7.541545,5078,ballypatrick-tipperary,Tipperary,"Detached dormer bungalow with large, south-facing rear garden and views of Comeraghs., Exclusive development of 10 houses., Off-street parking., Spacious house with generous living and sleeping accommodation.",NA
"Cloonaglasha, Tuam, Co. Galway, H54XC65",380000,4,1,Bungalow,N/A,C1,53.540452,-8.970793,4067,tuam-galway,Galway,,NA
"Cloonmoylan House, Cloonmoylan, Ballyshrule, Portumna, Co. Galway, H53D586",Price on Application,5,4,Detached,300,SI_666,53.067664,-8.3035,12347,portumna-galway,Galway,"The house is connected to mains electricity, high speed broadband, O.F.C.H., a private deep bored well on site and a septic tank onsite, All windows are double glazed , Stands on circa 12.5 acres of parkland and the property includes two small islands close to the shore",NA
"43 Seaview Heights, Merrymeeting, Wicklow Town, Co. Wicklow, A67KW30",280000,3,1,Terrace,70,C2,52.990676,-6.083358,6775,wicklow-town-wicklow,Wicklow,"FLOOR AREA C. 72 SQ.M., EXCELLENT CONDITION THROUGHOUT, CLOSE TO ALL AMENITIES, IDEAL FRIST TIME BUYR HOME/INVESTMENT",NA
"Boreen Dearg Coolowen, Blarney, Co. Cork",Price on Application,0,0,Site,1.3,N/A,51.95760599,-8.5424957,4726,blarney-cork,Cork,"3km from Blarney Village, 4km from Whitechurch Village, Excellent opportunity for a local applicant to build here subject to planning permission",NA
"6 Bloomfield Cottages, Bloomfield Avenue, Portobello, Dublin 8, D08H5K6",550000,2,1,End of Terrace,65,F,53.331594,-6.272191,12298,portobello-dublin,Dublin,,1900
"Parkhill, Ballyshannon, Co. Donegal, F94W2N8",320000,5,2,Detached,202,D1,54.519068,-8.163591,0,ballyshannon-donegal,Donegal,"Accommodation on one level, Convenient to local amenities, Extensive accommodation, Level site, Close to blue flag beaches",1978
"16 Harbour Hill, Cobh, Co. Cork, P24KD85",230000,2,3,Terrace,167,SI_666,51.850894,-8.290542,14058,cobh-cork,Cork,harbour views,NA
"Knockduff Upper, Meelin, Co. Cork, P51X2K1",Price on Application,3,1,Detached,N/A,E1,52.260346,-9.022904,3306,meelin-cork,Cork,,NA
"45 Adelaide Square, Whitefriar Street, Dublin 8",425000,1,1,Apartment,76,D1,53.339916,-6.267448,7277,dublin-8-dublin,Dublin,,2001
"Cloghane, Bandon, Co. Cork",65000,0,0,Site,0.9,N/A,51.730811943642834,-8.661704326587198,4459,bandon-cork,Cork,"Lovely rural location, Great views, c. 1 acre , Subject to planning and rural housing controls , 6 km Bandon and Innishannon, 4 km Kilmacsimon, 51.73066; -8.66160",NA
"14 Stocking Wood Green, D16P032",650000,4,4,Semi-D,120,C1,53.27145,-6.318756,0,rathfarnham-dublin,Dublin,,2006
"Castle Street, Ramelton, Co. Donegal, F92X3W8",350000,3,2,Terrace,N/A,D1,55.037076,-7.644884,8635,ramelton-donegal,Donegal,"Over 100 yrs old, 3 bedrooms, Kitchen / Dinette, 2 reception rooms, Downstairs WC, Large family bathroom, Oil fired central heating, Many original features, Detached storage garage, Private walled garden",1900
"40 Botanic Road, Glasnevin, Dublin 9, D09E7K8",525000,4,2,End of Terrace,138,E2,53.367324,-6.270878,13774,glasnevin-dublin,Dublin,"Substantial residence, Attractive red brick façade, Excellent potential to modernise, Phone watch monitored alarm system, Large west facing rear garden, Off street parking to the side access via Prospect Way, Oil fired central heating, Excellent location close to an abundance of amenities, Walking distance to Drumcondra and Phibsborough villages, Short drive to M1, M50 and Dublin Airport",1873
"Apartment 32, Howth Lodge, Howth, Dublin 13, D13Y584",1550000,3,4,Apartment,202,C1,53.391172,-6.084627,14059,howth-dublin,Dublin,,NA
"Thisledome, Creevy, Lisacul, Castlerea, Co. Roscommon, F45EC67",350000,5,2,Detached,167,C1,53.86017,-8.611458,7772,lisacul-roscommon,Roscommon,,1920
"Evergreens, Reen, Union Hall, Co Cork, P81TE27",695000,3,2,Detached,136,D2,51.527294,-9.166633,8108,union-hall-cork,Cork,,1980
"Bawn Road, Rush, Co. Dublin, K56XK09",450000,0,0,Site,0.5,N/A,53.519987,-6.087866,4990,rush-dublin,Dublin,"POTENTIAL DEVELOPMENT SITE SUBJECT TO PP, ZONED RESIDENTIAL",NA
"Bawn Road, Rush, Co. Dublin, K56XK09",800000,3,2,Detached,N/A,D1,53.519987,-6.087866,6810,rush-dublin,Dublin,,NA
"St Josephs, Ballinaclough, Rosscarbery, Co Cork, P85AK81",495000,5,2,Detached,203,C1,51.556991,-9.048807,13261,rosscarbery-cork,Cork,,1977
"5 Riversdale House, Glasnevin Court, Glasnevin, Dublin 11, D11PX70",295000,2,1,Duplex,N/A,SI_666,53.377047,-6.290513,7753,glasnevin-dublin,Dublin,"EXCELLENT MATURE AND EXTREMELY QUIET LOCATION,  PARKING INCLUDED, DECEPTIVELY LARGE DUPLEX, M50 AND M1 CLOSE BY, CITY CENTRE ONLY MINUTES AWAY, DUPLEX APARTMENT, LUAS GREEN LINE AND NUMEROUS BUS ROUTES ON THE DOORSTEP, DOUBLE GLAZED , DUBLIN AIRPORT A 10 MINUTE DRIVE AWAY, TESCO CLEARWATER, FINGLAS VILLAGE CLOSE BY WITH  LIDL ON YOUR DOOR STEP",NA
"Courtwood, Vicarstown, R32T2P1",545000,5,4,Bungalow,257,A3,53.078949,-7.066145,9813,vicarstown-laois,Laois,"Air to water heating system., Situated on C. 2 acres., Property Built in 2001. Was rewired, plumbed and insulated in 2019 when extension was added., PVC double glazed windows., Outside lights & socket., Landscaped front & rear gardens., Detached Garage (8.05 x 5.03) - Built in 2019, Electric roller door, Side door.",2001
"Carraig Garbh, Derrynasagart, Ballyvourney, Co. Cork",395000,4,3,Detached,203,B3,51.945125628325,-9.1793114253437,9941,ballyvourney-cork,Cork,"4 bedroom detached property, Superb condition throughout, South facing living area, Ground floor bedroom / bathroom, Oil fired central heating, Internal wall 50mm insulation BER B3 , Large site in a woodland setting, Walking distance to local bar & restaurants, Close to both primary and secondary schools, FPP for a detached garage",NA
"Lyre, Banteer, Co. Cork, P51WV77",40000,0,0,Site,0.3,N/A,52.08111,-8.861669,4209,banteer-cork,Cork,,NA
"The Green, Hacketstown, Co. Carlow, R93FT75",260000,3,1,Bungalow,N/A,C3,52.862199,-6.5545462,4156,hacketstown-carlow,Carlow,,NA
"Glenavon House, Rathealy Road, Fermoy, Co. Cork, P61FD85",800000,6,3,Detached,614,SI_666,52.141585,-8.269588,13982,fermoy-cork,Cork,All main services ,NA
"Dunwiley, Stranorlar, Co. Donegal, F93CH59",220000,3,1,Bungalow,104,C3,54.812686,-7.774652,4206,stranorlar-donegal,Donegal,,1998
"Cloughroe, Drumkeen, Co. Donegal, F93HW14",430000,5,4,Detached,240,B3,54.854276,-7.764743,4509,drumkeen-donegal,Donegal,"Built in 2003, floor area is 240 square metres., Five double bedrooms., Four bathrooms., Clear mica test result., Underfloor heating on ground floor, radiators throughout first floor., Radiators throughout first floor., B3 Energy Rating, Concrete floor between ground and first floor, all first floor walls are block built., Detached garage., Electric entrance gates and alarm system fitted.",2003
"Coras Point, Cavan, Co. Cavan, H12TY31",375000,5,4,Detached,162,D2,53.98663,-7.402933,7374,cavan-cavan,Cavan,"Oil Fired Central Heating, Less than a 5 minute drive from Cavan General Hospital, Septic Tank, Mains Water, Gently elevated 0.89 acre private roadside site, BER: D2, Five Bedroom",1987
"136 Tir an Choir, Tuam, Co. Galway",110000,0,0,Site,0.2,N/A,53.50824133661379,-8.85147469864603,1955,tuam-galway,Galway,,NA
"Ballyhorgan West, Lixnaw, Co. Kerry, V92H2R2",249000,3,1,Detached,122,D1,52.414443,-9.580919,20625,lixnaw-kerry,Kerry,,1958
"West End, Castletownbere, Beara, Co. Cork, P75HW63",210000,4,1,Townhouse,N/A,E2,51.648891,-9.915756,4913,beara-cork,Cork,"Would make an ideal Family Home, Convenient to Town Centre and all  Amenities,  including Hotel, Restaurants, Pubs, Schools, Church, Possible Development Land",1930
"Martinsbank, Bahana, Enniskerry, Co. Wicklow, A98H283",1950000,7,4,Detached,280,B2,53.157101,-6.197853,8651,enniskerry-wicklow,Wicklow,"7 Bedrooms, 7 Acres with forestry, lawns and fields, Large barn with mezzanine flooring, Electric front gates",NA
"Boleybeg East, Cappagh Road, Barna, Co. Galway",135000,0,0,Detached,0.65,N/A,53.280392,-9.138823,5387,barna-galway,Galway,"0.8km to local national school, 3km from coast with a variety of stunning beaches, 6km to Galway city, Walled and fenced site, High speed broadband available in the area, Choice of two sites of Circa 0.60 acre & 0.65 acres (Part Folio GY51526F)",NA
"Drumacanoo, Churchill, Letterkenny, Co. Donegal",75000,0,0,Site,N/A,N/A,54.9558392,-7.7342787,3838,letterkenny-donegal,Donegal,,NA
"The Glebe, Letterkenny, Co. Donegal",250000,0,0,Site,1.06,N/A,54.958104260523,-7.6924058687338,3007,letterkenny-donegal,Donegal,,NA
"3 Mariner Lane, Dun Laoghaire, Co. Dublin, A96CR29",895000,2,2,Townhouse,98,B3,53.292345,-6.13151,8858,dun-laoghaire-dublin,Dublin,"WALK IN CONDITION MEWS IN THE HEART OF DUN LAOGHAIRE, PRIME, YET PEACEFUL AND PRIVATE LOACATION, EXTENSIVELY RENOVATED IN 2018, ENCLOSED PRIVATE COURTYARD, TECHNOTHERM ELECTRIC RADIATORS THROUGHOUT, BER B3, SILVER CEDAR CLADDING TO BAY WINDOWS, SHORT STROLL TO DUN LAOGHAIRE TOWN CENTRE, PIER AND DART STATION",2000
"Fawn, Malin, Co. Donegal, F93HW5K",280000,4,1,Detached,142,C3,55.283173,-7.223761,4564,malin-donegal,Donegal,"4 Bedroom Victorian Style House, Mature 0.5 Acre Site, Dual Central Heating , Heart of Inishowen, Original Features - Coving, High Ceilings, Original Doors, Spacious rear extension",1940
"Glann, Kilkelly, Co. Mayo, F35HW11",75000,3,0,Detached,N/A,SI_666,53.890806,-8.803981,6626,kilkelly-mayo,Mayo,"Lovely Location, 5 min drive from Ireland West Airport",NA
"1 Gaoth Na Mara, Furbo, Co. Galway, H91KNK7",2000000,6,5,Detached,321,A2,53.247932,-9.214008,15250,furbo-galway,Galway,,2020
"15 Park Road, Drumillard, Castleblayney, Co. Monaghan, A75T973",230000,3,1,Detached,102,C3,54.12173,-6.740568,4417,castleblayney-monaghan,Monaghan,"Excellent location - Walking distance to all local schools, shops & services , Oil fired central heating, Electric Fire  ,  Tiled & Wooden Flooring , Cathedral door Style Cream Kitchen , Triple Glazed Windows & Doors, 2 Block Built Storage Sheds On Rear , On Street Parking ",1979
"12 Ashfield, Greatmeadow, Boyle, Co. Roscommon, F52KV88",315000,4,3,Detached,174,D1,53.965006,-8.303159,8213,boyle-roscommon,Roscommon,"Oil fired central heating., uPVC double glazed windows. Hardwood teak front door.  , Most desireable, prime residential location., Generous site with south faciong rear garden, Quality hardwood internal joinery – doors, skirting, architrave., High speed broadband available in area., Mains services., Aluminium fascia & soffitt.",2002
"Killoran North, Coolaney, Co. Sligo",99950,2,1,Detached,N/A,SI_666,54.14538584355083,-8.642104407759888,10472,coolaney-sligo,Sligo,,NA
"26 Greenpark Close, South Circular Road, V94TY8K",450000,4,3,Semi-D,N/A,D2,52.645603,-8.645693,8716,south-circular-road-limerick,Limerick,"Double glazed UPVC Windows., Generous off street parking., South west facing rear garden with patio area and side entrance., Gas fired central heating system, No 26 oozes location location location, Very established and peaceful setting, Ideal home for right sizers owner occupiers or investors, Distinguished Tudor style facade, Tarmac drive to the front",1972
"Tortugas, 2 Ballybride Manor, Ballybride Road, Rathmichael, Dublin 18, D18N4V2",2900000,6,7,Detached,708,B3,53.228291,-6.137245,12512,rathmichael-dublin,Dublin,"Spacious well laid out family accommodation totalling C519 sq.m. in the main house plus an additional 189 in the pool area and games room so 708 sq.m , Interconnecting main receptions and a bespoke designer kitchen, Open plan family room with picture windows and doors to the rear patio and garden, Separate cosy tv room / study, Exceptional large heated indoor swimming pool with cover., Separate large games room which could suit a variety of uses, Feature loft style principal bedroom suite, Six double bedrooms all ensuite, C.1 acre of manicured grounds, Cobble lock drive with plenty of off street parking, electric gates and double garage.",1999
"Carrickataskin, Derrybeg, Co. Donegal, F92P7X0",200000,3,2,Bungalow,120,E1,55.066362,-8.281538,5791,derrybeg-donegal,Donegal,"A uniquely designed bungalow on a mature elevated  site, Close to Gweedore Business park and local  Play Park, Good panoramic views of Errigal and Derryveagh mountains, Option to purchase the adjoining 1 acre plot , Derrybeg village is just 4 minutes drive., Bunbeg and Derrybeg schools are within 5 mins drive, Donegal Airport is just 20 minutes drive with twice daily return flights to Dublin, Good broadband in this location,ideal for working from home, There is an option to purchase the land outside the overall half acre that the bungalow is built on.",1980
"Dún Na Gréine, Coolgreany, Co. Wexford, Y25P031",387500,4,3,Semi-D,141,A3,52.763041,-6.238638,3564,coolgreany-wexford,Wexford,"uPVC triple glazed Windows & doors fitted by K & K windows  , Bespoke Fitted kitchen or allowance, Mechanical extraction in kitchens , bathroom, utility, and en-suite, Four bed - Fitted units in utility, plumbed for washing machine and dryer. , Air to water heating system, Shower in en-suite and shower over bath in main bathroom, Painted internally & All timber work painted white, Wired for electric vehicle & Wired for intruder alarm ,  High end tiling or allowance, Shaker doors throughout",NA
"Knockballiniry, Goatenbridge, Ardfinnan, Co. Tipperary",45000,0,0,Site,0.75,N/A,52.250475,-7.8833871,2348,ardfinnan-tipperary,Tipperary,"Sale subject to planning permission for one house, Scenic location enjoying superb views of the Knockmealdowns and Galtees, Only 0.3km from Goatenbridge and c.9.5km from Clogheen, Level site, mains water, ESB and Broadband close at hand",NA
"34 Leeson Park Avenue, Ranelagh, Dublin 6, D06N230",1850000,5,4,End of Terrace,310,E1,53.32697,-6.248015,15730,ranelagh-dublin,Dublin,"Concealed Basement for garden storage, Red brick façade, Original granite steps, Internal period features intact including centre rose, coving and period fireplace., Self-contained apartment if desired",1890
"5 Pairc na Chrosaire, Ring, Dungarvan, Co Waterford, Ring, Co. Waterford, X35DX27",625000,5,4,Detached,220,N/A,52.047813,-7.563889,7059,ring-waterford,Waterford,"Conveniently located in the heart of Ring just a stone's throw from primary and secondary schools., 10-15 minute drive to Dungarvan town centre., Walking distance of local Spar shop, Helvick Pier and coffee shops., Spacious and pristine interior., Private development of only 6 houses., Large driveway and patio to the side., Detached block-built garage., Security alarm., Oil fired central heating., Mains services.",NA
"Apartment 221 , Block A, Hampton Lodge, Drumcondra, Dublin 9, D09RR24",375000,2,2,Apartment,74,B2,53.375371,-6.244312,7114,drumcondra-dublin,Dublin,,2006
"3 Adelaide Terrace, Henry Street, Limerick City Centre, V94EE6C",250000,3,1,Terrace,N/A,E2,52.658969,-8.63303,11837,N/A,N/A,"End of terrace, Double glazed windows, Gas fired central heating, Large front garden, City centre location, Superb potential",1890
"The Cottage, Kilmurry, Arklow, County Wicklow, Y14WR97",375000,3,1,Detached,71,D1,52.749621,-6.163001,11229,clogga-wicklow,Wicklow,"Special Features, A lovely quaint 3-bedroom cottage oozing style and peacefulness., Lovely views of the surrounding countryside., Upvc. double glazing windows & doors., Detached shed & Decking Area., The property boasts a great-sized garden and a patio deck at the rear, ideal for relaxing or entertaining., Services, Shared Well, Septic Tank on site., Oil-fired central heating & wood burning stove.",1940
"8 Stoneleigh Manor, Saint George's Avenue, Killiney, Co. Dublin, A96TN83",895000,3,3,Semi-D,98,C3,53.261381,-6.120212,9608,killiney-dublin,Dublin,"MATURE LOCATION   , SECURE PRIVATE DEVELOPMENT, WALKING DISTANCE OF KILLINEY HILL AND DART STATION, AREA 98 SQ.M (1,054 sq ft), ELECTRIC GATES, GFCH",1996
"Ramelton Road, Letterkenny, Co. Donegal",500000,0,0,Site,0.89,N/A,54.954357161715,-7.726784376237,2928,letterkenny-donegal,Donegal,,NA
"0.80 Acre Site At Clonkeen,, Clones,, Co. Monaghan",40000,0,0,Site,0.8,N/A,53.343782495445,-7.3485849666952,2067,cloneen-tipperary,Tipperary,"Total site area: 0.325 HA/ 0.80 Acres., Detached derelict building, Five minutes drive to Clones town",NA
"Tampico, Ballinatray Lower, Courtown, Co. Wexford, Y25CK29",249000,3,1,Detached,85,D2,52.647066,-6.233335,9271,courtown-wexford,Wexford,"Mains Water, Mains Sewerage, Oil Fired Central Heating",1964
"Glebe, Manorhamilton, Co. Leitrim, F91W803",249950,4,2,Detached,N/A,C2,54.350242,-8.246409,9882,manorhamilton-leitrim,Leitrim,,NA
"1 Gaoth Na Mara, Furbo, Co. Galway, H91KNK7",2000000,6,5,Detached,1.8,A2,53.247842,-9.213922,13276,furbo-galway,Galway,,2020
"Apartment 15 , Kirwans Court, Galway City Centre, H91C2R2",365000,3,2,Apartment,N/A,B3,53.27144,-9.054858,11669,N/A,N/A,"Superb 3 bed city centre apartment situated in a wonderful complex at Kirwan's Court in the heart of Galway City., It is within walking distance of the university, hospital, and has every city amenity on the doorstep., 15 Kirwan's Court is in top class decorative order and very nicely presented., The apartment features electric heating, double glazing, superb kitchen with granite worktop, fitted with hob, oven, fridge, dishwasher and washing ma, There is a top class en suite off the master bedroom and a main bathroom that has excellent tiling., This is a top class apartment that's ready to walk straight into., 15 Kirwan's Court is in a fantastic location. ",1991
"Currahoo House, Currahoo, Kinsale, Co. Cork, P17KR13",2500000,6,3,Detached,197,C3,51.692337,-8.588075,19373,kinsale-cork,Cork,"Unique 4-bedroom detached period home, About 197 sq m / 2130 sq ft, Two bed detached cottage, About 100 sq m / 1080 sq ft, About 2.6 ha / 6.4 ac mature site, Panoramic water and countryside views, Direct water access point, Renovated stables and outbuildings, South facing rear grounds, OFCH (3 zones) / Septic tank / Filtered well water",1800
"198 Kimmage Road West, Kimmage, Dublin 12, D12FV52",595000,4,2,Semi-D,127,D2,53.316394,-6.316404,11551,kimmage-dublin,Dublin,,NA
"Shankill House, Carrigeenhill, Baltinglass, Co. Wicklow, W91CX60",Price on Application,6,2,Detached,N/A,G,52.9391189,-6.7406273,4314,baltinglass-wicklow,Wicklow,,1905
"Aughine, Moydow, Moydow, Co. Longford, N39YW02",100000,4,1,Bungalow,N/A,SI_666,53.66431,-7.787455,3546,moydow-longford,Longford,,NA
"Glebe, Letterkenny, Co. Donegal, F92D29P",645000,5,4,Detached,N/A,C1,54.958276,-7.689118,6607,letterkenny-donegal,Donegal,"Exception family residence, Constructed in 1985 and extended in early 1990's, Located in one of Letterkennys most sought after areas, Spacious living accommodation, Exceptionally well decorated throughout, High quality finishes throughout, Extending to 287sq mts, Occupying a beautiful mature and developed 0.6 acre site, Red brick pillars on entrance with tarmac driveway, Bounded by mature shrubs, trees and plants to ensure maximum privacy.",1985
"Shannow Upper, Ballinagh, Co. Cavan, H12VX39",175000,4,2,Bungalow,170,SI_666,53.891722,-7.366118,29306,ballinagh-cavan,Cavan,,NA
"7A Glynsk Cottages, Glynsk, Cashel, Co.Galway, Cashel, Co. Galway, H91XEC1",375000,4,4,Detached,190,C2,53.370078,-9.823625,10994,cashel-galway,Galway,,1995
"The Bower, Killygordon, Co. Donegal, F93K6RN",230000,3,1,Bungalow,N/A,D2,54.798776,-7.684037,3449,killygordon-donegal,Donegal,"Elevated site with far reaching views of the Finn Valley., Spacious site measuring over 0.8 acres., Very well maintained.",1975
"15 Sutton Park, Sutton, Sutton, Dublin 13, D13Y2C2",695000,4,1,Semi-D,128,D1,53.388446,-6.132079,4532,sutton-dublin,Dublin,,NA
"Derrymullan, Ballinasloe, Co. Galway, H53NX92",265000,4,1,Detached,123,D2,53.343582,-8.245259,5378,ballinasloe-galway,Galway,,1978
"Site 2, Site 2, Ballyboggan, Park, Wexford Town, Co. Wexford",160000,0,0,Detached,2023,N/A,52.347083,-6.502631,2280,wexford-town-wexford,Wexford,"C. 0.5 acre site with the benefit of Outline Planning Permission, Mature boundaries, Elevated position with views of the River, Situated in a private cul de sac in one of Wexford's Premier addresses, All mains services.",NA
"60 Dolmen Court, Dublin 11, Poppintree, Dublin 11, D11VH05",270000,3,1,End of Terrace,94,C2,53.398444,-6.270745,6998,poppintree-dublin,Dublin,"Private gated parking for 3 cars, Spacious interior, Close to amenities and transport links, Feature fireplace, Excellent location, Close to shops and parks",1967
"2 Highgate, Birr, Co. Offaly, R42W890",265000,4,2,Semi-D,N/A,SI_666,53.086593,-7.911131,5769,birr-offaly,Offaly,,NA
"Drimasloyan, Manulla, Co. Mayo, F23Y290",240000,4,2,Detached,88,C3,53.820602,-9.168162,13333,manulla-mayo,Mayo,"Beautifully restored 1840's double-fronted traditional cottage for sale, Highly sought after residential location, Sitting on a mature 0.6 acre site with orchard, Renovated and extended to a high standard, Raised concrete barges with natural slate roof, Fibre broadband available, Vaulted wood ceilings throughout, Friendly, helpful neighbourhood, Immediate access to picuturesque loop-walks and heritage trails, Outdoor wash room ",1940
"2 Fermoy Road, Mitchelstown, Mitchelstown, Co. Cork, P67A262",250000,4,1,Semi-D,133,F,52.26231,-8.270674,8849,mitchelstown-cork,Cork,"Oil fired central heating , All main services, Beautifully maintained, Within walking distance of all amenities ",1900
"66 Lartigue Village, Listowel, Co. Kerry, V31YX43",225000,3,3,Semi-D,N/A,C3,52.45285,-9.483208,8287,listowel-kerry,Kerry,"Mature residential development, Within easy walking distance of all the amenities of the Heritage Market Town of Listowel, Spacious site, tarmacadam driveway, UPVC windows and doors, oil fired central heating, mains water and sewerage",2000
"Cartron, Ballygar, Ballygar, Co. Galway, F42TP86",165000,3,1,Bungalow,75,G,53.520479,-8.336806,6668,ballygar-galway,Galway,,NA
"8 The Elms, Swellan Lower, Cavan, H12Y309",300000,4,3,Detached,119,B3,53.987684,-7.383175,7902,cavan-cavan,Cavan,"Efficient B3 Energy Rating., Tiled and timber floors throughout., Tarmacadam driveway with parking for 2 cars., Oil fired central heating., Mains Services.",2005
"Apartment 63, Brabazon Hall, Dublin 8, D08XA56",410000,2,2,Apartment,67,C1,53.338844,-6.280537,3409,dublin-8-dublin,Dublin,"Two bedroom apartment , Main bed ensuite, Designated parking, Well presented throughout,  Large L-shaped balcony , 3rd floor,  Lift access , Electric heating,  67 sq.m / 721 sq.ft approx. , Management fees '¬2150 p.a approx",NA
"Main Street, Banagher, Co. Offaly, R42XW29",550000,4,2,Semi-D,N/A,D2,53.188448,-7.984974,5569,banagher-offaly,Offaly,"Mix Use Zoning - Residential / Commercial., Located in the Town Centre with excellent retail core., Potential large scale development., Iconic buildings steeped in local history. , 4 Bedroom Dwelling has newly installed triple glazed windows and composite doors. , Mains water and sewerage connection. Oil central heating., 1 Bedroom Apartment. , 2 x Commercial Units., ½ acre storage yard and or development opportunity.",NA
"148 The Haven, Jacob's Island, T12VX70",330000,3,3,Duplex,125,B2,51.881621,-8.397389,9745,cork-city,Cork,"Private gated setting, Dedicated car parking space, Private south facing balcony overlooking mature grounds., Duplex home of 1,330 sq. ft., Gas central heating, Fully fitted kitchen to include all appliances, Fitted robes in all three bedrooms, B2 energy rating, Great location with all amenities on the door step with lots of recreational facilities to include Corks greenway, Management fees approx. €1,600",2004
"2 Whitton Avenue, Clondalkin, Dublin 22, D22C7H6",490000,4,4,Semi-D,158,A2,53.331002,-6.402018,4218,clondalkin-dublin,Dublin,"Alarm , Garden shed on concrete base outdoor sockets and tap, Side entrance , Location , Close to all local shops and amenities , Solar panels , Heat pump , Excellent transport network , 2 of the 4 bedrooms have ensuites, Timber floors throughout ",NA
"Prospect Lawn, Dunmanway, Co. Cork, P47E180",475000,3,2,Detached,152,C2,51.713539,-9.112254,5572,dunmanway-cork,Cork,,NA
"The Green, Stratford-on-Slaney, Co. Wicklow, W91E2C0",240000,2,1,Detached,65,E1,52.9878852,-6.6750765,14001,stratford-on-slaney-wicklow,Wicklow,"Tranquil village setting in County Wicklow., Fully refurbished residence - ideal for extending at a later date., Extra-large and fully enclosed gardens., Elevated setting with beautiful views., Oil Fired Central Heating, Double Glazed windows and uPVC External doors., Commutable distance to Dublin City, Naas and Newbridge., Ideal Starter Home in an established residential neighbourhood.",1950
"26 Saint Mary'S Terrace, Cappamore, Cappamore, Co. Limerick, V94T0CP",95000,2,1,Terrace,100,G,52.613119,-8.334571,8474,cappamore-limerick,Limerick,"Ideal refurbishment project, Just a short walk to all local amenities including national school, church, shops, pubs etc., Limerick city is less than a 20 minute drive away. , The property may qualify for the vacant property grant (see link below) https://www.gov.ie/en/service/f8f1b-vacant-property-refurbishment-grant/, Vacant over period to qualify for grant, First Time Buyers , Investors ",NA
"27 Mountain View, Myshall, Co. Carlow, R21YC91",297500,5,2,Bungalow,140,C1,52.687102,-6.784589,5239,myshall-carlow,Carlow,"Senator front door with triple glazing, Large inviting hallway with double doors to kitchen, Air to air heat pump, Fibre broadband, Triton T90 in main bathroom (2 showers), Back garden panels have een raised for extra privacy",2005
"Apartment 11, Eaton Close, Rathcoole, Co. Dublin, D24Y761",185000,1,1,Apartment,N/A,C1,53.28152,-6.470746,5113,rathcoole-dublin,Dublin,"Location , Situated on Main Street Rathcoole  , Close to shops and all local amenities , 10 minute walk to avoca & rathcoole park , Bus stops , Parking ",NA
"Site 2, The Village, Mountcollins, Co. Limerick",35000,0,0,Site,0.37,N/A,52.3220585,-9.2386125,4455,mountcollins-limerick,Limerick,,NA
"The Moorings, Bantry, Co. Cork, P75XE97",1700000,5,3,Detached,230,D1,51.697466,-9.449952,11725,bantry-cork,Cork,,1979
"60 Grattan Park, Salthill, Salthill, Co. Galway, H91WE1H",600000,4,3,Semi-D,129,D1,53.265371,-9.060258,12212,salthill-galway,Galway,"Excellent location close to both Galway city and Salthill, Ideal Family Home with Excellent Potential, PVC Double Glazed Windows. , Private Rear Garden., Off-Street Parking",1978
"65 Hibernian Buildings, Albert Road, Cork City, Co. Cork, T12YPT9",190000,2,1,Terrace,N/A,SI_666,51.896786,-8.461072,14279,cork-city,Cork,"Cork City Location, Walking Distance of all Cork City Amenities, Quiet Location with very limited passing traffic , No rental history , Residence parking  , Gas Connection",NA
"Tubrid Cross, Ardfert, Co. Kerry",Price on Application,0,0,Site,0.97,N/A,52.32003159725576,-9.751402034220916,2973,ardfert-kerry,Kerry,,NA
"Ferrypoint, Rathmore, Kinsale, Co. Cork, P17HP21",1750000,5,5,Detached,585,B2,51.691845,-8.460621,6686,kinsale-cork,Cork,"Magnificent coastal private property,  Approx 6,300 square feet, On circa 3.26 acres of land, Range of outbuildings & paddocks, Views overlooking the Atlantic Ocean & Oysterhaven Bay, Indoor heated swimming pool",1990
"1 Barr Na Coille, Dingle, Co. Kerry, V92HH98",950000,4,4,Bungalow,156,C3,52.143071,-10.283543,4722,dingle-kerry,Kerry,,2000
